MIM	Gene	Phenotypes
615915	ZPLD1	
608901	CHDS5	"{Coronary heart disease, susceptibility to, 5}, 608901 (2)"
600467	MHS4	"{Malignant hyperthermia susceptibility 4}, 600467 (2), Autosomal dominant"
601662	ALCAM	
604491	CBLB	
616619	"DUBR, DUM, LINC0883"	
601028	"CD47, MER6, IAP"	
606621	"IFT57, ESRRBL1, HIPPI, OFD18"	"?Orofaciodigital syndrome XVIII, 617927 (3), Autosomal recessive"
604371	HHLA2	
609929	MYH15	
610643	"CIP2A, KIAA1524, p90"	
608672	"DZIP3, KIAA0675"	
605645	"RETNLB, RELMB, FIZZ2"	
604962	"TRAT1, TRIM"	
605128	"GUCA1C, GCAP3"	
603205	MORC1	
614445	"DPPA2, PESCRG1, ECAT15-2"	
614125	DPPA4	
607147	"NECTIN3, PVRL3, PRR3"	
606037	"CD96, TACTILE"	"C syndrome, 211750 (3), Autosomal dominant"
615246	ZBED2	
614655	STUT3	"Stuttering, familial persistent, 3, 614655 (2)"
617015	PLCXD1	
610298	PHLDB2	
618756	ABHD10	
607953	"TAGLN3, NP24, NP22"	
611956	"C3orf52, TTMP"	
607792	"GCET2, HGAL"	
612738	SLC9A10	
155970	MOX2	
607925	BTLA	
609606	"ATG3, APG3"	
608298	"CCDS80, URB, SSG1"	
607546	"CD200R1, MOX2R, OX2R"	
617089	"NEPRO, C3orf17, ANXD3"	"Anauxetic dysplasia 3, 618853 (3), Autosomal recessive"
608708	BOC	
617559	"CFAP44, WDR52, SPGF20"	"?Spermatogenic failure 20, 617593 (3), Autosomal recessive"
613447	"SPICE1, CCDC52"	
606816	SIDT1	
617568	USF3	
615433	"DEL3q13.31, C13DELq13.31"	"Chromosome 3q13.31 deletion syndrome, 615433 (4), Autosomal dominant"
610834	"NAA50, NAT13, NAT5, SAN"	
607027	"ATP6V1A, HO68, ARCL2D, DEE93"	"Cutis laxa, autosomal recessive, type IID, 617403 (3), Autosomal recessive; Developmental and epileptic encephalopathy 93, 618012 (3), Autosomal dominant"
617334	"ZDHHC23, NIDD"	
126451	"DRD3, ETM1, FET1"	"{Essential tremor, hereditary, 1}, 190300 (3), Autosomal dominant; {Schizophrenia, susceptibility to}, 181500 (3), Autosomal dominant"
194553	ZNF80	
612859	TIGIT	
606025	"ZBTB20, ZNF288, DPZF, PRIMS"	"Primrose syndrome, 259050 (3), Autosomal dominant"
162060	GAP43	
603241	"LSAMP, LAMP"	
616057	"TUSC7, LSAMPAS3, LOC285194"	
608351	"IGSF11, BTIGSF, VSIG3"	
602380	UPK1B	
604015	B4GALT4	
610911	"ARHGAP31, CDGAP, KIAA1204, AOS1"	"Adams-Oliver syndrome 1, 100300 (3), Autosomal dominant"
615618	"POGLUT1, CLP46, KTELC1, RUMI, C3orf9, DDD4, LGMDR21"	"Dowling-Degos disease 4, 615696 (3), Autosomal dominant; ?Muscular dystrophy, limb-girdle, autosomal recessive 21, 617232 (3), Autosomal recessive"
615534	"TIMMDC1, C3orf1, MC1DN31"	"Mitochondrial complex I deficiency, nuclear type 31, 618251 (3), Autosomal recessive"
112203	"CD80, CD28LG, LAB7"	
603081	ADPRH	
607460	"PLA1A, PSPLA1"	
605823	"POPDC2, POP2"	
604813	COX17	
609910	"CFAP91, MAATS1, AAT1, C3orf15, SPGF51"	"Spermatogenic failure 51, 619177 (3), Autosomal recessive"
603065	"NR1I2, PXR, SXR, PARq"	
605004	GSK3B	
610464	"GPR156, GABABL"	
605547	"FSTL1, FRP, MIR198"	
603840	NDUFB4	
607474	"HGD, AKU"	"Alkaptonuria, 203500 (3), Autosomal recessive"
618542	"RABL3, PNCA5"	"{?Pancreatic cancer, susceptibility to, 5}, 618680 (3), Autosomal dominant"
189962	"GTF2E1, TF2E1"	
609381	"STXBP5L, LLGL4"	
604419	POLQ	
611164	ARGFX	
609107	"FBXO40, FBX40, KIAA1195"	
601306	HCLS1	
602500	"GOLGB1, GCP372"	
609237	"IQCB1, NPHP5, KIAA0036"	"Senior-Loken syndrome 5, 609254 (3), Autosomal recessive"
607659	EAF2	
602339	"SLC15A2, PEPT2"	
609739	"ILDR1, DFNB42"	"Deafness, autosomal recessive 42, 609646 (3), Autosomal recessive"
601020	"CD86, CD28LG2, LAB72"	
601199	"CASR, HHC1, PCAR1, FIH, EIG8, HYPOC1"	"Hypocalcemia, autosomal dominant, with Bartter syndrome, 601198 (3), Autosomal dominant; {Epilepsy idiopathic generalized, susceptibility to, 8}, 612899 (3); Hyperparathyroidism, neonatal, 239200 (3), Autosomal recessive, Autosomal dominant; Hypocalcemia, autosomal dominant, 601198 (3), Autosomal dominant; Hypocalciuric hypercalcemia, type I, 145980 (3), Autosomal dominant"
603165	ATOD1	"{Dermatitis, atopic, susceptibility to, 1}, 603165 (2), Autosomal dominant"
614011	"ERVK-4, HERV-KI"	
613460	"FGQTL6, BWQTL3"	"[Birth weight QTL 3], 613460 (2); [Fasting plasma glucose level QTL 6], 613460 (2)"
601682	GLC1C	"Glaucoma 1C, primary open angle, 601682 (2), Autosomal dominant"
601471	"HCFP1, MBS2"	"Facial paresis, hereditary congenital, 1, 601471 (2), Autosomal dominant"
604316	PSORS5	"{Psoriasis susceptibility 5}, 604316 (2)"
184600	"CSTA, STFA, STF1, AREI, PSS4"	"Peeling skin syndrome 4, 607936 (3), Autosomal recessive"
608017	"FAM162A, ,C3orf28, E2IG5"	
600686	"KPNA1, RCH2, SRP1"	
612065	"PARP9, BAL1, BAL"	
613143	"DTX3L, BBAP"	
612066	"PARP15, BAL3"	
610028	"PARP14, KIAA1268"	
608263	"HSPBAP1, PASS1"	
602773	"SLC49A4, DIRC2, RCC4"	
609298	"SEMA5B, SEMG, KIAA1445"	
616942	"PDIA5, PDIR"	
612442	"SEC22A, SEC22L2"	
600293	"ADCY5, FDFM, DSKOD"	"Dyskinesia with orofacial involvement, autosomal dominant, 606703 (3), Autosomal dominant; Neurodevelopmental disorder with hyperkinetic movements and dyskinesia, 619651 (3), Autosomal recessive; Dyskinesia with orofacial involvement, autosomal recessive, 619647 (3), Autosomal recessive"
615939	"PTPLB, HACD2"	
600922	"MYLK, MLCK, AAT7, MMIHS1"	"Megacystis-microcolon-intestinal hypoperistalsis syndrome 1, 249210 (3), Autosomal recessive; Aortic aneurysm, familial thoracic 7, 613780 (3), Autosomal dominant"
617147	CCDC14	
611757	"ROPN1, ODF6"	
604605	"KALRN, HAPIP, DUO"	
613891	"UMPS, OPRT"	"Orotic aciduria, 258900 (3), Autosomal recessive"
147561	ITGB5	
612181	MUC13	
614182	"HEG1, KIAA1237"	
611316	SLC12A8	
601897	"ZNF148, ZFP148, GDACCF"	"Global developmental delay, absent or hypoplastic corpus callosum, and dysmorphic facies, 617260 (3), Autosomal dominant"
605931	SNX4	
606739	"OSBPL11, ORP11"	
610803	SLC41A3	
600249	"ALDH1L1, FTHFD"	
606465	"KLF15, KKLF"	
615746	ZXDC	
613012	"UROC1, UROCD"	"?Urocanase deficiency, 276880 (3), Autosomal recessive"
610124	"CHST13, C4ST3"	
606235	"TXNRD3, TRXR3, TR2"	
615634	"CHCHD6, CHCM1"	
601055	"PLXNA1, NOVP, NOV, PLXN1, DWOPNED"	"Dworschak-Punetha neurodevelopmental syndrome, 619955 (3), Autosomal recessive"
608336	"TPRA1, TPRA40, GPR175"	
116945	"MCM2, CDCL1, DFNA70"	"?Deafness, autosomal dominant 70, 616968 (3), Autosomal dominant"
616627	"PODXL2, EG"	
608308	"ABTB1, BPOZ"	
609699	"MGLL, MGL, HUK5"	
609213	"SEC61A1, SEC61, ADTKD5"	"Tubulointerstitial kidney disease, autosomal dominant, 5, 617056 (3), Autosomal dominant"
603449	"RUVBL1, NMP238, TIP49"	
607695	"EEFSEC, SELB, EFSEC"	
611337	"DNAJB8, DJ6"	
137295	"GATA2, DCML, MONOMAC, IMD21"	"{Leukemia, acute myeloid, susceptibility to}, 601626 (3), Autosomal dominant, Somatic mutation; Emberger syndrome, 614038 (3), Autosomal dominant; Immunodeficiency 21, 614172 (3), Autosomal dominant; {Myelodysplastic syndrome, susceptibility to}, 614286 (3)"
618259	LINC01565	
180470	RPN1	
602298	"RAB7, CMT2B, PSN"	"Charcot-Marie-Tooth disease, type 2B, 600882 (3), Autosomal dominant"
611103	"ACAD9, MC1DN20"	"Mitochondrial complex I deficiency, nuclear type 20, 611126 (3), Autosomal recessive"
173515	GP9	"Bernard-Soulier syndrome, type C, 231200 (3), Autosomal recessive"
612764	"ISY1, KIAA1160"	
116955	"CNBP, ZNF9, CNBP1, DM2, PROMM"	"Myotonic dystrophy 2, 602668 (3), Autosomal dominant"
615525	COPG1	
618288	HMCES	
602785	"H1-10, H1FX, H1X"	
603574	"MBD4, MED1, TPDS2"	"{Uveal melanoma, susceptibility to, 1}, 606660 (3); Tuor predisposition syndrome 2, 619975 (3)"
606045	"IFT122, WDR10, CED1"	"Cranioectodermal dysplasia 1, 218330 (3), Autosomal recessive"
611155	AD15	"{Alzheimer disease-15}, 611155 (2)"
606012	DFNA18	"Deafness, autosomal dominant 18, 606012 (2), Autosomal dominant"
220200	"DWS, C3DELq22q24, DEL3q22q24"	"Dandy-Walker syndrome, 220200 (4), Isolated cases"
608787	OTSC5	"Otosclerosis 5, 608787 (2)"
173865	PABPL1	
616361	PARK21	"Parkinson disease 21, 616361 (2), Autosomal dominant"
606995	SLSN3	"Senior-Loken syndrome 3, 606995 (2), Autosomal recessive"
180380	"RHO, RP4, OPN2, CSNBAD1"	"Night blindness, congenital stationary, autosomal dominant 1, 610445 (3), Autosomal dominant; Retinitis pigmentosa 4, autosomal dominant or recessive, 613731 (3), Autosomal recessive, Autosomal dominant; Retinitis punctata albescens, 136880 (3), Autosomal recessive, Autosomal dominant"
604282	PLXND1	
616242	"TMCC1, KIAA0779"	
613879	TRH	"Thyrotropin-releasing hormone deficiency, 275120 (1), Autosomal recessive"
616612	COL6A4P2	
611916	"COL6A5, COL29A1"	
616613	COL6A6	
602610	PIK3R4	
604384	"ATP2C1, BCPM, HHD"	"Hailey-Hailey disease, 169600 (3), Autosomal dominant"
609779	NEK11	
617381	NUDT16	
607118	"MRPL3, MRL3, COXPD9"	"Combined oxidative phosphorylation deficiency 9, 614582 (3), Autosomal recessive"
604208	"CPNE4, CPN4"	
171790	ACPP	
614334	"DNAJC13, RME8, KIAA0678"	
614288	ACAD11	
606065	"ACKR4, CCRL1, PPR1"	
610552	"UBA5, UBE1DC1, DEE44, SCAR24"	"?Spinocerebellar ataxia, autosomal recessive 24, 617133 (3), Autosomal recessive; Developmental and epileptic encephalopathy 44, 617132 (3), Autosomal recessive"
608002	"NPHP3, NPH3, RHPD1, MKS7"	"Nephronophthisis 3, 604387 (3), Autosomal recessive; Renal-hepatic-pancreatic dysplasia 1, 208540 (3), Autosomal recessive; Meckel syndrome 7, 267010 (3), Autosomal recessive"
617361	"TMEM108, RTLN, KIAA1690"	
603212	"BFSP2, CP49, CP47, CTRCT12"	"Cataract 12, multiple types, 611597 (3), Autosomal dominant"
618789	"CDV3, H41"	
607760	"TOPBP1, KIAA0259"	
190000	"TF, TFQTL1"	"Atransferrinemia, 209300 (3), Autosomal recessive"
616883	"SRPRB, APMCF1"	
615852	RAB6B	
601460	"SLCO2A1, OATP2A1, PGT, SLC21A2, PHOAR2, PHOAD"	"Hypertrophic osteoarthropathy, primary, autosomal dominant, 167100 (3), Autosomal dominant; Hypertrophic osteoarthropathy, primary, autosomal recessive 2, 614441 (3), Autosomal recessive"
600524	"RYK, RYK1"	
614658	"AMOTL2, KIAA0989"	
614484	"ANAPC13, APC13, SWM1"	
614724	"CEP63, SCKL6"	"?Seckel syndrome 6, 614728 (3), Autosomal recessive"
605739	"KY, MFM7"	"Myopathy, myofibrillar, 7, 617114 (3), Autosomal recessive"
600600	"EPHB1, EPHT2, NET"	
604944	"PP2R3A, PR72, PR130"	
614802	"MSL2, KIAA1585"	
232050	PCCB	"Propionicacidemia, 606054 (3), Autosomal recessive"
604358	"STAG1, MRD47"	"Intellectual developmental disorder, autosomal dominant 47, 617635 (3), Autosomal dominant"
617812	"SLC35G2, TMEM22"	
600508	NCK	
605621	"IL20RB, DIRS1"	
604747	SOX14	
609210	CLDN18	
617570	"DZIP1L, DZIP2, PKD5"	"Polycystic kidney disease 5, 617610 (3), Autosomal recessive"
616709	A4GNT	
607024	DBR1	"{Encephalitis, acute, infection (viral)-induced, susceptibility to, 11}, 619441 (3), Autosomal recessive"
618521	ARMC8	
618584	"NME9, NXL2, TXNDC6"	
608435	"MRAS, RRAS3, NS11"	"Noonan syndrome 11, 618499 (3), Autosomal dominant"
616692	"ESYT3, FAM62C"	
614310	CEP70	
617535	FAIM	
602925	"PIK3CB, PI3KCB"	
605597	"FOXL2, BPES, BPES1, PFRK, POF3"	"Blepharophimosis, epicanthus inversus, and ptosis, type 2, 110100 (3), Autosomal recessive, Autosomal dominant; Blepharophimosis, epicanthus inversus, and ptosis, type 1, 110100 (3), Autosomal recessive, Autosomal dominant; Premature ovarian failure 3, 608996 (3), Autosomal dominant"
612221	STQTL10	"{Stature QTL 10}, 612221 (2)"
618995	BPESC1	
605810	"MRPS22, C3orf5, COXPD5, ODG7"	"Ovarian dysgenesis 7, 618117 (3), Autosomal recessive; Combined oxidative phosphorylation deficiency 5, 611719 (3), Autosomal recessive"
606990	"COPB2, MCPH19, OPDD"	"Osteoporosis, childhood- or juvenile-onset, with developmental delay, 619884 (3), Autosomal dominant; ?Microcephaly 19, primary, autosomal recessive, 617800 (3), Autosomal recessive"
180280	"RBP2, CRBP2"	
180260	"RBP1, CRBP1"	
608702	"NMNAT3, PNAT3"	
611323	CLSTN2	
616149	"SLC25A36, PNC2"	
611660	"SPSB4, SSB4"	
619732	"PXYLP1, XYLP, ACPL2"	
612218	ZBTB38	
601589	"RASA2, GAP1M"	
603863	"RNF7, ROC2, SAG"	
606987	"GRK7, GPRK7"	
601867	ATP1B3	
602160	"TFDP2, DP2"	
607994	"XRN1, SEP1"	
601215	"ATR, FRP1, SCKL1, FCTCS"	"Seckel syndrome 1, 210600 (3), Autosomal recessive; ?Cutaneous telangiectasia and cancer syndrome, familial, 614564 (3), Autosomal dominant"
602734	"PLS1, DFNA76"	"Deafness, autosomal dominant 76, 618787 (3), Autosomal dominant"
602343	"TRPC1, TRP1"	
607064	PCOLCE2	
614580	PAQR9	
617849	"U2SURP, SR140, KIAA0332"	
610761	HDLCQ5	"[High density lipoprotein cholesterol level QTL 5], 610761 (2)"
603798	CHST2	
608396	"SLC9A9, AUTS16"	"{?Autism susceptibility 16}, 613410 (3)"
612200	"DIPK2A, C3orf58, DIA1"	
601865	"PLOD2, LH2, TLH, BRKS2"	"Bruck syndrome 2, 609220 (3), Autosomal recessive"
607612	PLSCR4	
607610	PLSCR2	
604170	"PLSCR1, MMTRA1B"	
608948	ZIC4	
600470	"ZIC1, CRS6, BAIDCS"	"?Craniosynostosis 6, 616602 (3), Autosomal dominant; Structural brain anomalies with impaired intellectual development and craniosynostosis, 618736 (3), Autosomal dominant"
106165	"AGTR1, AGTR1A, AT2R1"	"{Hypertension, essential}, 145500 (3), Multifactorial; Renal tubular dysgenesis, 267430 (3), Autosomal recessive"
114852	"CPB1, PCPB, PASP"	
114851	CPA3	
603942	"GYG1, GSD15"	"?Glycogen storage disease XV, 613507 (3), Autosomal recessive; Polyglucosan body myopathy 2, 616199 (3), Autosomal recessive"
603257	"SMARCA3, SNF2L3, HIP116"	
606118	HPS3	"Hermansky-Pudlak syndrome 3, 614072 (3), Autosomal recessive"
117700	CP	"Cerebellar ataxia, 604290 (3), Autosomal recessive; [Hypoceruloplasminemia, hereditary], 604290 (3), Autosomal recessive; Hemosiderosis, systemic, due to aceruloplasminemia, 604290 (3), Autosomal recessive"
608638	ASPG1	"{Asperger syndrome susceptibility 1}, 608638 (2), Multifactorial, Isolated cases"
607373	AUTS8	"{Autism susceptibility 8}, 607373 (2), Multifactorial, Isolated cases"
612008	CELIAC10	"{Celiac disease, susceptibility to, 10}, 612008 (2)"
615697	ETL6	"Epilepsy, familial temporal lobe, 6, 615697 (2), Autosomal dominant"
191155	"TM4SF1, M3S1, TAAL6"	
606567	"TM4SF4, ILTMP"	
607392	"WWTR1, TAZ"	
616699	COMMD2	
609247	"RNF13, DEE73"	"Developmental and epileptic encephalopathy 73, 618379 (3), Autosomal dominant"
176590	"PFN2, PFL, D3S1319E"	
611365	"TMEM183B, C1orf37DUP"	
617724	"TSC22D2, KIAA0669"	
617674	"SERP1, RAMP4"	
609234	EIF2A	
607912	"SELENOT, SELT"	
602213	SIAH2	
606397	"CLRN1, USH3A, USH3, RP61"	"Usher syndrome, type 3A, 276902 (3), Autosomal recessive; Retinitis pigmentosa 61, 614180 (3)"
611318	"MED12L, NOPAR, KIAA1635, NIZIDS"	"Nizon-Isidor syndrome, 618872 (3), Autosomal dominant"
618925	GPR171	
610116	"P2RY14, BPR105, KIAA0001"	
606379	GPR87	
606380	"P2RY13, GPR86"	
600515	"P2RY12, P2Y12, BDPLT8"	"Bleeding disorder, platelet-type, 8, 609821 (3), Autosomal recessive"
617351	IGSF10	
600338	"AADAC, DAC"	
606381	"SUCNR1, GPR91"	
606516	"MBNL1, KIAA0428, EXP"	
601167	"P2RY1, P2Y1"	
179541	RAP2B	
617552	"ARHGEF26, SGEF"	
612767	"DHX36, G4R1, RHAU, KIAA1488"	
120520	"MME, CD10, CALLA, NEP, CMT2T, SCA43"	"?Spinocerebellar ataxia 43, 617018 (3), Autosomal dominant; Charcot-Marie-Tooth disease, axonal, type 2T, 617017 (3), Autosomal recessive, Autosomal dominant"
616891	"DWORF, LOC100507537"	
613459	BWQTL2	"[Birth weight QTL 2], 613459 (2)"
612835	"PLCH1, PLCL3, KIAA1069, HPE14"	"Holoprosencephaly 14, 619895 (3), Autosomal recessive"
619654	C3orf33	
603690	"SLC33A1, ACATN, AT1, SPG42, CCHLND"	"Spastic paraplegia 42, autosomal dominant, 612539 (3), Autosomal dominant; Congenital cataracts, hearing loss, and neurodegeneration, 614482 (3), Autosomal recessive"
600358	GMPS	
601141	"KCNAB1, KCNA1B"	
606213	"SSR3, TRAPG"	
612480	TIPARP	
613536	LEKR1	
613384	"CCNL1, ANIA6A"	
609594	"VEPH1, MELT, KIAA1692"	
602492	PTX3	
602504	"SHOX2, SHOT, OG12"	
613352	"RSRC1, SRRP53, MRT70"	"Intellectual developmental disorder, autosomal recessive 70, 618402 (3), Autosomal recessive"
601402	MLF1	
606639	"GFM1, EFG1, GFM, COXPD1"	"Combined oxidative phosphorylation deficiency 1, 609060 (3), Autosomal recessive"
609305	"LXN, ECI, TCI"	
605090	"RARRES1, TIG1"	
619976	MFSD1	
611622	IQCJ	
619206	SCHIP1	
109720	PBC1	"Biliary cirrhosis, primary, 1, 109720 (2), Autosomal dominant"
161560	IL12A	
611177	"IFT80, KIAA1374, WDR56, SRTD2, ATD2"	"Short-rib thoracic dysplasia 2 with or without polydactyly, 611263 (3), Autosomal recessive"
605575	CAPC	
619572	MIR15B	
616148	"TRIM59, RNF104, MRF1, IFT80L"	
602970	"KPNA4, QIP1"	
615644	SCARNA7	
614439	"ARL14, ARF7"	
611931	"PPM1L, PP2CE"	
109200	"AGA1, MPB"	"Alopecia, androgenetic, 1, 109200 (2), Autosomal dominant"
600049	MDS1	Myelodysplasia syndrome-1 (3)
606082	MNG3	"Goiter, multinodular, 3, 606082 (2)"
609257	MYP8	"Myopia 8, 609257 (2), Multifactorial"
603094	"B3GALT3, GLCT3, GLOB"	"[Blood group, P1PK system, P(k) phenotype], 111400 (3); [Blood group, globoside system], 615021 (3)"
611021	NMD3	
610412	"SPTSSB, C3orf57, SSSPTB, ADMP"	
609845	SI	"Sucrase-isomaltase deficiency, congenital, 222900 (3), Autosomal recessive"
609679	"SLITRK3, KIAA0848"	
177400	"BCHE, CHE1, BCHED"	"Butyrylcholinesterase deficiency, 617936 (3), Autosomal recessive; {Apnea, postanesthetic, susceptibility to, due to BCHE deficiency}, 617936 (3), Autosomal recessive"
605587	"SERPIN12, PI14, MEPI"	
609118	"PDCD10, TFAR15, CCM3"	"Cerebral cavernous malformations-3, 603285 (3), Autosomal dominant"
602445	"SERPINI1, PI12"	"Encephalopathy, familial, with neuroserpin inclusion bodies, 604218 (3), Autosomal dominant"
610422	APMR2	"Alopecia-intellectual disability syndrome 2, 610422 (2), Autosomal recessive"
612637	Feb-10	"Febrile seizures, familial, 10, 612637 (2)"
606805	"GOLIM4, GOLPH4, GPP130"	
165215	"MECOM, EVI1, RUSAT2"	"Radioulnar synostosis with amegakaryocytic thrombocytopenia 2, 616738 (3), Autosomal dominant"
602322	"TERC, TRC3, TR, DKCA1, PFBMFT2"	"{Pulmonary fibrosis, idiopathic, susceptibility to}, 614743 (3), Autosomal dominant; Dyskeratosis congenita, autosomal dominant 1, 127550 (3), Autosomal dominant; {Aplastic anemia}, 614743 (3), Autosomal dominant"
608534	ARPM1	
615310	"TRV-AAC1-1, TRNAV24"	
606042	MYNN	
619037	LRRC34	
602173	"SEC62, TLOC1, HTP1"	
600539	PRKCI	
165340	"SKIL, SNO"	
601326	"CLDN11, OTM, OSP, HLD22"	"Leukodystrophy, hypomyelinating, 22, 619328 (3), Autosomal dominant"
615720	"SLC7A14, KIAA1613, RP68"	"Retinitis pigmentosa 68, 615725 (3), Autosomal recessive"
605782	EIF5A2	
138160	"SLC2A2, GLUT2"	"Fanconi-Bickel syndrome, 227810 (3), Autosomal recessive; {Diabetes mellitus, noninsulin-dependent}, 125853 (3), Autosomal dominant"
610005	"TNIK, KIAA0551, MRT54"	"Intellectual developmental disorder, autosomal recessive 54, 617028 (3), Autosomal recessive"
602382	"PLD1, CVDD"	"Cardiac valvular defect, developmental, 212093 (3), Autosomal recessive"
611909	"FNDC3B, FAD104"	
601898	"GHSR, GHDP"	"Growth hormone deficiency, isolated partial, 615925 (3), Autosomal recessive, Autosomal dominant"
603598	"TNFSF10, TRAIL, APO2L"	
613234	"NCEH1, NCEH, KIAA1363"	
600586	ECT2	
609856	"SPATA16, SPGF6"	"?Spermatogenic failure 6, 102530 (3), Autosomal recessive"
600568	NLGN1	"{Autism, susceptibility to, 20}, 618830 (3), Autosomal dominant"
608806	NAALADL2	
608628	"TBL1XR1, TBLR1, IRA1, C21, MRD41"	"Intellectual developmental disorder, autosomal dominant 41, 616944 (3), Autosomal dominant; Pierpont syndrome, 602342 (3), Autosomal dominant"
605214	KCNMB2	
606452	WIG1	
171834	"PIK3CA, CLOVE, MCAP, MCM, MCMTC, CWS5, CLAPO, CCM4"	"CLOVE syndrome, somatic, 612918 (3); Hepatocellular carcinoma, somatic, 114550 (3); Breast cancer, somatic, 114480 (3); Cerebral cavernous malformations 4, somatic, 619538 (3); Ovarian cancer, somatic, 167000 (3); Colorectal cancer, somatic, 114500 (3); Macrodactyly, somatic, 155500 (3); CLAPO syndrome, somatic, 613089 (3); Keratosis, seborrheic, somatic, 182000 (3); Nevus, epidermal, somatic, 162900 (3); Gastric cancer, somatic, 613659 (3); Nonsmall cell lung cancer, somatic, 211980 (3); Megalencephaly-capillary malformation-polymicrogyria syndrome, somatic, 602501 (3); Cowden syndrome 5, 615108 (3)"
605222	KCNMB3	
619214	"ZNF639, ZASC1"	
608506	MFN1	
610863	"GNB4, CMTD1F"	"Charcot-Marie-Tooth disease, dominant intermediate F, 615185 (3), Autosomal dominant"
604958	"ACTL6A, BAF53, BAF53A"	
611852	MRPL47	
603841	NDUFB5	
603591	"USP13, ISOT3"	
611058	"PEX5L, PEX5R, PXR2B"	
613798	CCDC39	"Ciliary dyskinesia, primary, 14, 613807 (3), Autosomal recessive"
600819	"FXR1, MYORIBF, MYOPMIL"	"?Myopathy, congenital, with respiratory insufficiency and bone fractures, 618822 (3), Autosomal recessive; ?Myopathy, congenital proximal, with minicore lesions, 618823 (3), Autosomal recessive"
608977	"DNAJC19, TIM14"	"3-methylglutaconic aciduria, type V, 610198 (3), Autosomal recessive"
616338	"SOX2OT, NCRNA00043"	
184429	"SOX2, MCOPS3"	"Optic nerve hypoplasia and abnormalities of the central nervous system, 206900 (3), Autosomal dominant; Microphthalmia, syndromic 3, 206900 (3), Autosomal dominant"
605869	"ATP11B, ATPIR"	
605905	"DCUN1D1, RP42"	
605552	"AOMS1, SYNX"	"Abdominal obesity-metabolic syndrome 1, 605552 (2), Autosomal dominant"
605229	SPG14	"Spastic paraplegia 14, autosomal recessive, 605229 (2), Autosomal recessive"
609010	"MCCC1, MCCA"	"3-Methylcrotonyl-CoA carboxylase 1 deficiency, 210200 (3), Autosomal recessive"
605883	DCLAMP	
619946	"MCF2L2, ARHGEF22, KIAA0861"	
615333	B3GNT5	
614214	"KLHL6, FLJ00029"	
611295	"KLHL24, KRIP6, EBS6"	"Epidermolysis bullosa simplex 6, generalized, with scarring and hair loss, 617294 (3), Autosomal dominant"
613373	"YEATS2, KIAA1197, FAME4"	"?Epilepsy, myoclonic, familial adult, 4, 615127 (3), Autosomal dominant"
610593	"MAPO6D1, SL21"	
607858	PARL	
605251	"ABCC5, MRP5, MOATC"	
610122	HTR3D	
610121	HTR3C	
610123	HTR3E	
603945	"EIF2B5, LVWM, CACH, CLE"	"Ovarioleukodystrophy, 603896 (3), Autosomal recessive; Leukoencephalopathy with vanishing white matter, 603896 (3), Autosomal recessive"
601368	"DVL3, DRS3"	"Robinow syndrome, autosomal dominant 3, 616894 (3), Autosomal dominant"
601024	"AP2M1, CLAPM1, MRD60"	"Intellectual developmental disorder 60 with seizures, 618587 (3), Autosomal dominant"
618967	ABCF3	
611620	"MIR1224, MIRN1224"	
608750	"ALG3, NOT56L, CDGS4, CDG1D"	"Congenital disorder of glycosylation, type Id, 601110 (3), Autosomal recessive"
608721	"CAMK2N2, CAMKIIN"	
610145	"ECE2, KIAA0604"	
606223	"PSMD2, S2, TRAP2"	
600495	"EIF4G1, EIF4G, PARK18"	"{Parkinson disease 18}, 614251 (3), Autosomal dominant"
600570	"CLCN2, EGMA, ECA2, EGI11, EJM8, LKPAT, HALD2"	"Leukoencephalopathy with ataxia, 615651 (3), Autosomal recessive; Hyperaldosteronism, familial, type II, 605635 (3), Autosomal dominant; {Epilepsy, juvenile myoclonic, susceptibility to, 8}, 607628 (3), Autosomal dominant; {Epilepsy, juvenile absence, susceptibility to, 2}, 607628 (3), Autosomal dominant; {Epilepsy, idiopathic generalized, susceptibility to, 11}, 607628 (3), Autosomal dominant"
606023	"POLR2H, RPB8"	
600044	"THPO, MGDF, MPLLG, TPO, THCYT1"	"Thrombocythemia 1, 187950 (3), Autosomal dominant"
603475	CHRD	
601839	"EPHB3, ETK2"	
609267	MAGEF1	
618366	VPS8	
607037	"EHHADH, PBFE, LBFP, FRTS3"	"?Fanconi renotubular syndrome 3, 615605 (3), Autosomal dominant"
604915	"MAP3K13, LZK"	
607365	"LIPH, LAH2, ARWH2, HYPT7"	"Hypotrichosis 7, 604379 (3), Autosomal recessive; Woolly hair, autosomal recessive 2 with or without hypotrichosis, 604379 (3), Autosomal recessive"
608261	"SENP2, SMT3IP2, AXAM2, KIAA1331"	
608289	"IGF2BP2, IMP2"	"{Diabetes mellitus, noninsulin-dependent, susceptibility to}, 125853 (3), Autosomal dominant"
602719	"TRA2B, SFRS10"	
601600	"ETV5, ERM"	
601854	"DGKG, DAGK3"	
123730	"CRYGS, CRYG8, CTRCT20"	"Cataract 20, multiple types, 116100 (3), Autosomal dominant"
619848	TBCCD1	
611341	"DNAJB11, HEDJ, DJ9, ABBP2, PKD6"	"Polycystic kidney disease 6 with or without polycystic liver disease, 618061 (3), Autosomal dominant"
138680	"AHSG, APMR1"	"?Alopecia-intellectual disability syndrome 1, 203650 (3), Autosomal recessive"
605954	FETUB	
